Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condomínio;IPTU;Valor Bruto;Valor m2;Valor Bruto m2;Tipo Agregado
Apartamento;Cachambi;2;1;0;60;1200.0;495.0;37.0;1732.0;20.0;20.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;89;2200.0;850.0;120.0;3170.0;24.719101123595507;24.72;Apartamento
Quitinete;Centro;1;0;0;30;1100.0;235.0;70.0;1405.0;36.666666666666664;36.67;Apartamento
Quitinete;Centro;1;0;0;20;700.0;312.0;8.0;1020.0;35.0;35.0;Apartamento
Apartamento;Laranjeiras;3;2;1;130;3700.0;1800.0;350.0;5850.0;28.46153846153846;28.46;Apartamento
Apartamento;Gávea;4;3;1;200;9700.0;2500.0;0.0;12200.0;48.5;48.5;Apartamento
Casa de Vila;Campo Grande;3;1;0;80;1300.0;0.0;0.0;1300.0;16.25;16.25;Casa
Apartamento;Engenho Novo;2;1;0;45;1000.0;373.0;16.0;1389.0;22.22222222222222;22.22;Apartamento
Apartamento;Ipanema;2;2;1;153;9500.0;1321.0;278.0;11099.0;62.091503267973856;62.09;Apartamento
Apartamento;Jacarepaguá;2;1;2;70;1300.0;550.0;0.0;1850.0;18.571428571428573;18.57;Apartamento
Apartamento;Copacabana;3;1;1;110;3000.0;1306.0;290.0;4596.0;27.272727272727273;27.27;Apartamento
Apartamento;Copacabana;3;1;0;180;7000.0;1700.0;700.0;9400.0;38.888888888888886;38.89;Apartamento
Apartamento;Tijuca;3;1;1;118;2600.0;594.0;161.0;3355.0;22.033898305084747;22.03;Apartamento
Apartamento;Tijuca;4;1;0;131;2800.0;585.0;1377.0;4762.0;21.374045801526716;21.37;Apartamento
Apartamento;Rocha;2;0;0;70;950.0;400.0;16.0;1366.0;13.571428571428571;13.57;Apartamento
Apartamento;Barra da Tijuca;4;3;2;233;7000.0;4600.0;8167.0;19767.0;30.042918454935624;30.04;Apartamento
Casa de Condomínio;Barra da Tijuca;5;3;5;560;16000.0;1500.0;1940.0;19440.0;28.571428571428573;28.57;Casa
Apartamento;Barra da Tijuca;2;1;1;67;3100.0;750.0;160.0;4010.0;46.26865671641791;46.27;Apartamento
Apartamento;Leblon;3;4;3;350;16000.0;3800.0;1500.0;21300.0;45.714285714285715;45.71;Apartamento
Casa de Condomínio;Barra da Tijuca;4;2;4;350;8500.0;510.0;600.0;9610.0;24.285714285714285;24.29;Casa
Apartamento;Leblon;3;1;1;140;5000.0;1100.0;400.0;6500.0;35.714285714285715;35.71;Apartamento
Apartamento;Leblon;2;1;1;90;3500.0;1260.0;254.0;5014.0;38.888888888888886;38.89;Apartamento
Apartamento;Copacabana;2;1;1;85;4200.0;1160.0;151.0;5511.0;49.411764705882355;49.41;Apartamento
Quitinete;Glória;1;0;0;30;800.0;495.0;0.0;1295.0;26.666666666666668;26.67;Apartamento
Apartamento;Copacabana;1;0;0;46;2800.0;450.0;250.0;3500.0;60.869565217391305;60.87;Apartamento
Apartamento;Leme;2;1;0;80;4000.0;1000.0;0.0;5000.0;50.0;50.0;Apartamento
Apartamento;Cascadura;2;1;0;61;800.0;418.0;0.0;1218.0;13.114754098360656;13.11;Apartamento
Apartamento;Grajaú;2;1;1;78;1900.0;580.0;0.0;2480.0;24.358974358974358;24.36;Apartamento
Apartamento;Grajaú;2;1;1;76;1300.0;840.0;85.0;2225.0;17.105263157894736;17.11;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;65;1500.0;580.0;73.0;2153.0;23.076923076923077;23.08;Apartamento
Apartamento;Flamengo;2;0;0;70;2500.0;420.0;25.0;2945.0;35.714285714285715;35.71;Apartamento
Apartamento;Andaraí;2;0;0;72;1600.0;820.0;0.0;2420.0;22.22222222222222;22.22;Apartamento
Apartamento;Catete;1;0;0;27;1200.0;295.0;30.0;1525.0;44.44444444444444;44.44;Apartamento
Apartamento;Barra da Tijuca;4;3;2;233;7000.0;4100.0;6500.0;17600.0;30.042918454935624;30.04;Apartamento
Apartamento;Gávea;2;1;1;80;4000.0;110.0;140.0;4250.0;50.0;50.0;Apartamento
Apartamento;Península;1;1;1;66;2800.0;1150.0;120.0;4070.0;42.42424242424242;42.42;Apartamento
Apartamento;Del Castilho;1;1;0;55;800.0;350.0;0.0;1150.0;14.545454545454545;14.55;Apartamento
Apartamento;Abolição;1;0;0;42;800.0;260.0;16.0;1076.0;19.047619047619047;19.05;Apartamento
Apartamento;Copacabana;3;2;2;123;4200.0;1450.0;320.0;5970.0;34.146341463414636;34.15;Apartamento
Apartamento;Lins de Vasconcelos;2;0;0;53;1100.0;285.0;16.0;1401.0;20.754716981132077;20.75;Apartamento
Apartamento;Barra da Tijuca;2;1;1;65;1500.0;1000.0;0.0;2500.0;23.076923076923077;23.08;Apartamento
Casa de Condomínio;Humaitá;6;2;2;450;8000.0;0.0;0.0;8000.0;17.77777777777778;17.78;Casa
Apartamento;Copacabana;3;2;1;200;7000.0;2200.0;661.0;9861.0;35.0;35.0;Apartamento
Apartamento;Botafogo;1;0;0;28;1300.0;500.0;0.0;1800.0;46.42857142857143;46.43;Apartamento
Apartamento;Barra da Tijuca;1;1;0;68;1600.0;900.0;235.0;2735.0;23.529411764705884;23.53;Apartamento
Apartamento;Barra da Tijuca;3;2;2;141;5000.0;1500.0;4630.0;11130.0;35.46099290780142;35.46;Apartamento
Apartamento;Ipanema;5;2;2;300;16000.0;2100.0;0.0;18100.0;53.333333333333336;53.33;Apartamento
Apartamento;Ipanema;3;2;1;140;5000.0;2500.0;600.0;8100.0;35.714285714285715;35.71;Apartamento
Quitinete;Flamengo;1;0;0;35;1700.0;400.0;53.0;2153.0;48.57142857142857;48.57;Apartamento
Apartamento;Copacabana;4;0;2;130;8500.0;730.0;1400.0;10630.0;65.38461538461539;65.38;Apartamento
